Title,Area,Address,Bedroom,WC,Floor,links,Description,Price(Mil)
"Bán nhà góc 2 MT đường MIẾU GÒ XOÀI, DT: 4x19m, 3 lầu, giá: 7.5 tỷ TL Liên Hệ Ngay",76.0,Hồ Chí Minh,4.0,2.0,2.0,https://batdongsan.vn/ban-nha-goc-2-mt-duong-mieu-go-xoai-dt-4x19m-3-lau-gia-75-ty-tl-lien-he-ngay-r268666,"- Bán nhà: Góc 2 mặt tiền đường Miếu Gò Xoài, DT: 4x19m.- Hiện trạng: Mặt tiền đường rộng 12m, cách mặt tiền đường Lê Văn Quới chỉ 300m, thuận lợi để kinh doanh, buôn bán hoặc cho thuê. Bán kính tiện ích nằm trong 1km như chợ, siêu thị, cửa hàng công nghệ, dịch vụ ăn uống,v.v...- Kết cấu: 1 trệt, 3 lầu.- Vị trí: Khu dân cư an ninh, sầm uất, xe lưu thông thường xuyên.- Giá: 7.5 tỷ TL.Liên hệ: 0707725457 Phú Cường.Hỗ Trợ Khách Hàng Đăng Bộ Sang Tên Hoàn Toàn Miễn Phí.Cam kết những thông tin trên đúng 100% sự thật.Uy Tín - Chuyên Nghiệp - Tốc Độ - Hiệu Quả.Sàn giao dịch BĐS TanPhuLand.Đc: 229 Lê Văn Quới, P. Bình Trị Đông, Q. Bình Tân, TP. HCM.",7500.0
"Bán nhà HXH đường HƯƠNG LỘ 2, DT: 5x17m, 2 lầu, giá: 5.6 tỷ TL Liên Hệ Ngay",85.0,Hồ Chí Minh,4.0,2.0,2.0,https://batdongsan.vn/ban-nha-hxh-duong-huong-lo-2-dt-5x17m-2-lau-gia-56-ty-tl-lien-he-ngay-r268663,"- Bán nhà: Hẻm xe hơi đường Hương Lộ 2, DT: 5x17m.- Hiện trạng: Hẻm trước nhà 6m xe hơi vô đến nhà, vị trí nhà thông ra được đường Lê Văn Quới và Đất Mới, cách mặt tiền đường chỉ 200m. Bán kính tiện ích nằm trong 1km như chợ, siêu thị, trường học các cấp, bệnh viện, cửa hàng công nghệ, dịch vụ ăn uống,v.v...- Kết cấu: 1 trệt, 2 lầu.- Vị trí: Khu dân cư an ninh, dân trí cao, văn minh, sạch sẽ.- Giá: 5.6 tỷ TL.Liên hệ: 0707725457 Phú Cường.Hỗ Trợ Khách Hàng Đăng Bộ Sang Tên Hoàn Toàn Miễn Phí.Cam kết những thông tin trên đúng 100% sự thật.Uy Tín - Chuyên Nghiệp - Tốc Độ - Hiệu Quả.Sàn giao dịch BĐS TanPhuLand.Đc: 229 Lê Văn Quới, P. Bình Trị Đông, Q. Bình Tân, TP. HCM.",5600.0
"Bán nhà HXH đường ĐẤT MỚI, DT: 3.5x112.5m, 1 lầu, giá: 3.57 tỷ TL Liên Hệ Ngay",44.0,Hồ Chí Minh,4.0,2.0,2.0,https://batdongsan.vn/ban-nha-hxh-duong-dat-moi-dt-35x1125m-1-lau-gia-357-ty-tl-lien-he-ngay-r268659,"- Bán nhà: Hẻm xe hơi đường Đất Mới, DT: 3.5x12.5m.- Hiện trạng: Hẻm trước nhà 5m xe hơi vô đến nhà, cách ngã 4 Đất Mới - Hương Lộ 2 chỉ 300m. Bán kính tiện ích nằm trong 1km như chợ, siêu thị, trường học các cấp, bệnh viện, cửa hàng công nghệ, dịch vụ ăn uống,v.v...- Kết cấu: 1 trệt, 1 lầu.- Vị trí: Khu dân cư an ninh, dân trí cao, văn minh, sạch sẽ.- Giá: 3.57 tỷ TL.Liên hệ: 0707725457 Phú Cường.Hỗ Trợ Khách Hàng Đăng Bộ Sang Tên Hoàn Toàn Miễn Phí.Cam kết những thông tin trên đúng 100% sự thật.Uy Tín - Chuyên Nghiệp - Tốc Độ - Hiệu Quả.Sàn giao dịch BĐS TanPhuLand.Đc: 229 Lê Văn Quới, P. Bình Trị Đông, Q. Bình Tân, TP. HCM.",3570.0
"Bán nhà HXH đường SỐ 2 GÒ XOÀI, DT: 4x10m, 3 lầu, giá: 4.65 tỷ TL Liên Hệ ngay",40.0,Hồ Chí Minh,4.0,2.0,2.0,https://batdongsan.vn/ban-nha-hxh-duong-so-2-go-xoai-dt-4x10m-3-lau-gia-465-ty-tl-lien-he-ngay-r268658,"- Bán nhà: Hẻm xe hơi thông đường Số 2 Gò Xoài, DT: 4x10m.- Hiện trạng: Hẻm 6m thông tứ hướng, cách mặt tiền đường chưa đến 100m. Bán kính tiện ích nằm trong 1km như chợ, siêu thị, trường học, cửa hàng công nghệ, dịch vụ ăn uống,v.v...- Kết cấu: 1 trệt, 2 lầu, sân thượng.- Vị trí: Khu dân cư an ninh, dân trí cao, văn minh, sạch sẽ.- Giá: 4.65 tỷ TL.Liên hệ: 0707725457 Phú Cường.Hỗ Trợ Khách Hàng Đăng Bộ Sang Tên Hoàn Toàn Miễn Phí.Cam kết những thông tin trên đúng 100% sự thật.Uy Tín - Chuyên Nghiệp - Tốc Độ - Hiệu Quả.Sàn giao dịch BĐS TanPhuLand.Đc: 229 Lê Văn Quới, P. Bình Trị Đông, Q. Bình Tân, TP. HCM.",4650.0
"BÁN NHÀ MTKD MIẾU GÒ XOÀI BÌNH TÂN - 60M, 5 TẦNG, SỔ ĐẸP - DT 12TR/TH - CHỈ 4.8 T.Ỷ",60.0,Hồ Chí Minh,3.0,4.0,2.0,https://batdongsan.vn/ban-nha-mtkd-mieu-go-xoai-binh-tan-60m-5-tang-so-dep-dt-12trth-chi-48-ty-r268656,"Mô tả:???? Chỉ 50tr/m2 sở hữ mặt tiền Bình Tân, vừa ở vừa kinh doanh siêu sầm uất.???? Kết cấu: BTCT 1 trệt, lửng 2 lầu ST, gồm 3 phòng khép kín, 4wc, phòng khách, bếp, phòng thờ.???? Vị trí mặt tiền nhựa, gần Ngã Tư 4 Xã, ngay Lê Văn Quới, 5p đến Tân Phú, khu dân cư đông đúc.???? Pháp lý sạch, hoàn công đủ, sổ vuông công chứng ngay trong ngày.???? Chủ ngộp gần 4 t.ỷ gấp bán sẽ thương lượng với khách thiện chí & nhanh gọn.=================================☎️ Liên hệ: 0354299320 Tú ( zalo nhà giá tốt )",4800.0
"Bán nhà HXH thông đường HƯƠNG LỘ 2, DT: 4x12m, 3 lầu, giá: 5.1 tỷ TL Liên Hệ Ngay",48.0,Hồ Chí Minh,4.0,2.0,2.0,https://batdongsan.vn/ban-nha-hxh-thong-duong-huong-lo-2-dt-4x12m-3-lau-gia-51-ty-tl-lien-he-ngay-r268654,"- Bán nhà: Hẻm xe hơi thông đường Hương Lộ 2, DT: 4x12m.- Hiện trạng: Hẻm 6m thông ra đường Lê Văn Quới, Mã Lò và Đất Mới, cách mặt tiền đường Đất Mới chỉ 300m. Bán kính tiện ích nằm trong 1km như chợ, siêu thị, trường học các cấp, cửa hàng công nghệ, dịch vụ ăn uống,v.v...- Kết cấu: 1 trệt, 2 lầu, sân thượng, 4 phòng ngủ, 4 toilet.- Vị trí: Khu dân cư an ninh, dân trí cao, văn minh, sạch sẽ.- Giá: 5.1 tỷ TL.Liên hệ: 0707725457 Phú Cường.Hỗ Trợ Khách Hàng Đăng Bộ Sang Tên Hoàn Toàn Miễn Phí.Cam kết những thông tin trên đúng 100% sự thật.Uy Tín - Chuyên Nghiệp - Tốc Độ - Hiệu Quả.Sàn giao dịch BĐS TanPhuLand.Đc: 229 Lê Văn Quới, P. Bình Trị Đông, Q. Bình Tân, TP. HCM.",5100.0
"Bán nhà hẻm 635 Hương Lộ 2 Bình Tân 52m2, 4 tầng BTCT, 4PN, kinh doanh, nhỉnh 5 tỷ thương lượng 0978508087",52.0,Hồ Chí Minh,4.0,2.0,4.0,https://batdongsan.vn/ban-nha-hem-635-huong-lo-2-binh-tan-52m2-4-tang-btct-4pn-kinh-doanh-nhinh-5-ty-thuong-luong-0978508087-r268648,"NHÀ 4 TẦNG TÂM HUYẾT XÂY Ở RẤT KIÊN CỐ - 4 PHÒNG THIẾT KẾ ĐẸP - MÊ NGAY TỪ CÁI NHÌN ĐẦU TIÊN+ Diện tích 4 x 13m (52m2)+ Kết cấu: 1 trệt 2 lầu đúc thật, sân thượng, 4 phòng rộng lớn, ban công, giếng trời.+ Khu vực cực kỳ sạch sẽ, hàng xóm thân thiện, an ninh, dân cư văn minh.+ Hẻm bê tông 6m, xe tải chạy vi vu, hẻm thông sang đường trương phước phan, bình trị đông. Gần tiếp giáp với mã lò, tân hoà đông, ngã tư bốn xã, đi đâu cũng tiện.+ Gần Bệnh viện Quận Bình Tân, Trường tiểu học Bình Trị 1, THCS Bình Trị Đông, nhiều trường học các Cấp, Cao Đẳng - Đại học... phòng khám đa khoa,... Tiện ích ngập tràn.+ Nhà gần mặt tiền, tiện mở văn phòng kinh doanh, hoặc ở và buôn bán nhỏ, cho thuê,...+ Pháp lí sạch, khu phân lô đẹp, sổ hồng hoàn công đầy đủ công chứng ngay.+ Xem thực tế mới thấy vị trí và giá trị căn nhà.==================================================================== LH 0978508087 Nguyễn Tiền xem nhà trực tiếp, thương lượng giá cả làm việc chính chủ.    Không hợp tác môi giới!",5500.0
"Bán nhà Kinh Dương Vương Bình Tân, hẻm 3 gác, nhà 3 tầng ,2 PN, FULL công năng, chỉ 2,2 tỷ TL 0978508087",18.0,Hồ Chí Minh,2.0,3.0,3.0,https://batdongsan.vn/ban-nha-kinh-duong-vuong-binh-tan-hem-3-gac-nha-3-tang-2-pn-full-cong-nang-chi-22-ty-tl-0978508087-r268647,"NHÀ ĐẸP - 3 TẦNG - SỔ HỒNG RIÊNG+ Nhà trệt + 2 lầu gồm: 2 phòng ngủ, phòng khách, bếp Full công năng, bankong, cửa sổ thoáng mát, có 3 tolet( có sẵn máy nước nóng, vòi sen tắm). + Nhà mới xách vali vào ở ngay thích hợp cho vợ chồng trẻ mới cưới hoăc phụ huynh muốn mua nhà cho con ở đi học.+ Vị trí nhà hẻm 1 sẹc gần đường lớn kinh dương vương, gần AEON Bình Tân, Sát bên Tên Lửa Quận 6, Gần công viên Phú Lâm, Gần chợ, và nhiều trường học,...+ Giá thương lượng.================================================================================== LH 0978508087 Nguyễn Tiền xem nhà, thương lượng giá cả làm việc chính chủ.    100% nhà thật tin thật.",2200.0
"bán nhà hương lộ 2 Bình Tân HXH, DT 56m2, 2 tầng, 2 PN, bán gấp về quê, chỉ 4,5 tỷ Thương lượng 0978508087",56.0,Hồ Chí Minh,2.0,2.0,2.0,https://batdongsan.vn/ban-nha-huong-lo-2-binh-tan-hxh-dt-56m2-2-tang-2-pn-ban-gap-ve-que-chi-45-ty-thuong-luong-0978508087-r268646,"CÁCH 150M TỚI COOPMART BÌNH TÂN - HẺM THÔNG THOÁNG - Ô TÔ ĐỖ CỬA NGÀY ĐÊM.+ Diện tích: 56m2(4x14m) vuông vức. + Nhà 2 tầng, 2 phòng ngủ (1 phòng dưới trệt), chủ đang ở. Cần bán về quê. + Hẻm gần 8m rộng rãi, ngay gần công viên, gần co.op mart, đầy đủ tiện nghi. + Khu vực dân cư đông đúc, an ninh.+ Sổ vuông vức, pháp lý sạch, mua bán công chứng nhanh.================================================================================= LH  0978508087 Nguyễn Tiền xem nhà, thương lượng giá cả làm việc chính chủ.",4500.0
"Nhà hẻm xe ba gác rộng 80m2 đường CMT8, quận 10, mới đẹp chỉ 7,6 tỷ",80.0,Hồ Chí Minh,2.0,2.0,2.0,https://batdongsan.vn/nha-hem-xe-ba-gac-rong-80m2-duong-cmt8-quan-10-moi-dep-chi-76-ty-r268644,"Nhà hẻm xe ba gác rộng 80m2 đường CMT8, quận 10, mới đẹp chỉ 7,6 tỷ-Kết cấu: 2 tầng (2PN, 2WC) BTCT kiên cố-Diện tích: 80m2 (5*16)-Pháp lý: sổ hồng, sổ đỏ đầy đủ-Tiện ích trong bán kính 1km:+Chợ+Bệnh viện+Highland Coffee+Siêu thị điện máy chợ lớn, siêu thị Bách hóa xanh+Trường Tiểu học",6000.0
BÁN NHÀ GIÁ RẺ HÀ TRÌ HÀ ĐÔNG 50M2 3 THOÁNG GIÁ CHỈ HƠN 60TR/M,50.0,Hà Nội,4.0,2.0,2.0,https://batdongsan.vn/ban-nha-gia-re-ha-tri-ha-dong-50m2-3-thoang-gia-chi-hon-60trm-r268643,"BÁN NHÀ GIÁ RẺ HÀ TRÌ HÀ ĐÔNG 50M2 3 THOÁNG GIÁ CHỈ HƠN 60TR/M- Nhà lô góc 3 mặt thoáng- Nhà mới xây đầy đủ công năng cho cặp vợ chồng trẻ.- Đi bộ sang trường Marie Cuirre, gần chợ Hà Đông, bv quân y 103.- Sổ đỏ chính chủ,vuông vắn trước sau- Hàng xóm thân thiện,an ninh tốtLiên hệ em Dương để xem nhà: 0914450004 (Ảnh minh hoạ)",3150000.0
"Gò Vấp, Thống Nhất Phường 11, HXH 6m, 52m2, 6 tầng chỉ 9.8 tỷ",52.0,Hồ Chí Minh,4.0,5.0,6.0,https://batdongsan.vn/go-vap-thong-nhat-phuong-11-hxh-6m-52m2-6-tang-chi-98-ty-r268639,"MS 13323* Bán nhà đường Thống Nhất Phường 11, Gò Vấp.* Diện tích 52m2, 6 tầng BTCT, gồm phòng khách, bếp, garage xe hơi, 4 phòng ngủ (có 2 phòng Master), 5WC, phòng xông hơi, phòng thờ, sân thượng trước, sau.* Nhà mới, đẹp, ở ngay.* Hẻm tráng nhựa sạch sẽ 6m thông. Khu vực an ninh, dân trí.* Pháp lý rõ ràng, công chứng ngay.",9800.0
"Bán nhà PVC Phường 9 Gò Vấp, HXH 6m, 105m2, 5x21, 2 tầng chỉ 8 tỷ",105.0,Hồ Chí Minh,5.0,2.0,2.0,https://batdongsan.vn/ban-nha-pvc-phuong-9-go-vap-hxh-6m-105m2-5x21-2-tang-chi-8-ty-r268638,"MS 13423* Nhà chính chủ 1 đời, diện tích công nhận 105m2, ngang 5m dài 21m, 2 tầng với 5 phòng ngủ, trong đó 2 phòng ở tầng trệt. * Đường trước nhà 6m, xe hơi tới tận cửa.* Nhà gần mặt tiền đường, thuận tiện di chuyển đi các nơi.* Khu vực cho xây 4 tầng, sân thượng, mái che.* Hình sổ đẹp, không vay ngân hàng.",8000.0
"BÁN NHÀ MẶT TIỀN ĐƯỜNG LÊ VĂN THỨ, CẠNH CHỢ MÂN THÁI, SƠN TRÀ, ĐÀ NẴNG, DT: 115M2 CHỈ 6,2 TỶ",115.0,Đà Nẵng,3.0,2.0,2.0,https://batdongsan.vn/ban-nha-mat-tien-duong-le-van-thu-canh-cho-man-thai-son-tra-da-nang-dt-115m2-chi-62-ty-r268637,"???????????? VỊ TRÍ ĐẮC ĐỊA - MẶT TIỀN RỘNG 7,2M, ĐANG KINH DOANH BUÔN BÁN DÒNG TIỀN , CẠNH CHỢ, GẦN BIỂN - CHỦ THỞ CÀNG NGÀY CÀNG YẾU NÊN MONG MUỐN BÁN NHANH, GIẢM CHÀO 1,4 TỶ, GIÁ TỪ 7,6 TỶ CÒN 6,2 TỶ – CƠ HỘI ĐẦU TƯ SINH LỜI ????????????✅ Vị trí nhà cực đẹp, Nhà nằm ngay mặt tiền đường Lê Văn Thứ, sau nhà là kiệt ô tô, cách  chợ Mân Thái chỉ 80m, cách đường Võ Nguyên Giáp, bãi tắm Mân Thái chỉ vài phút đi bộ... Chủ vừa ở vừa kinh doanh quán cà phê luôn đông khách, gần các trường học, siêu thị, công viên… khu dân cư an ninh tốt, tiện ích xung quanh không thiếu thứ gì.✅ Đường rộng 5.5m, vỉa hè 3m, cách chợ Mân Thái chỉ vài bước chân, khu vực kinh doanh buôn bán rất thuận lợi. ✅ Nhà 2 tầng, diện tích 115m2 gồm: Khu vực kinh doanh, Phòng khách, Phòng ăn + bếp, Phòng thờ, 3 Phòng ngủ và 2WC (Chủ đang kinh doanh quán Cà phê)✅ Sổ đẹp vuông vức, công chứng ngay.✅ Chủ thở ngày càng yếu nên muốn bán nhanh trong tháng căn nhà tâm huyết giá cực rẻ. Cơ hội đầu tư sinh lời dành cho các nhà đầu tư thông thái.✅  Giá: 6,2 tỷ (Thương lượng)✅  Liên hệ: Mr.Tín 0905154727 để được tư vấn, xem nhà & làm việc chính Chủ",6200.0
